"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","수심(m)","수온(℃)","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3101A40","원성천","2024/02/14","1회차","127°9'11.88""","36°48'1.44""","13:50","","14.8","12.6","1.3","6.5","6.325","0.189","4.3","6.4"
"1101A15","입장천","2024/02/14","1회차","127°8'23.28""","36°57'50.4""","10:52","","10.4","9.3","1.5","5.7","4.651","0.033","3.1","3.6"
"3004A40","제원2","2024/02/14","1회차","127°35'21.55""","36°6'59.03""","11:10","","7.5","12.9","0.4","2.9","1.685","0.007","1.8","2.0"
"3101A35","천안천1","2024/02/14","1회차","127°8'46.27""","36°47'57.12""","14:00","","14.6","12.1","2.0","6.5","4.134","0.069","3.7","7.0"
"3101A50","천안천2","2024/02/14","1회차","127°6'48.36""","36°46'51.62""","14:20","","16.5","8.7","11.6","12.2","16.242","0.406","7.4","8.8"
"3101A52","천안천3","2024/02/14","1회차","127°5'23""","36°46'30""","11:50","","14.7","9.3","6.7","11.1","12.682","0.355","8.0","11.5"
"3101A60","곡교천2","2024/02/14","2회차","126°56'2.2""","36°49'17.9""","10:40","","11.4","8.6","4.8","7.7","9.367","0.171","5.4","10.6"
"3012A30","곰나루","2024/02/14","2회차","127°6'39.64""","36°28'27.75""","09:39","","9.0","11.9","1.3","5.2","3.977","0.048","2.7","9.3"
"3012A40","공주2","2024/02/14","2회차","126°59'13.8""","36°20'31.3""","10:08","","8.0","12.6","1.3","5.3","3.713","0.032","2.8","3.1"
"3012A60","부여1","2024/02/14","2회차","126°53'32.8""","36°16'32.6""","10:30","","7.8","12.7","1.5","5.3","3.518","0.033","2.7","5.3"
"3012A70","부여2","2024/02/14","2회차","126°56'56.1""","36°14'39.1""","10:50","","8.4","13.5","2.4","5.7","3.662","0.046","2.8","7.6"
"3012A80","성동","2024/02/14","2회차","127°0'12.73""","36°10'22.52""","11:52","","9.1","13.4","3.0","6.3","3.902","0.057","3.0","8.5"
"3101A70","남원천","2024/02/15","1회차","126°46'35.94""","36°51'31.43""","10:50","","9.6","9.6","3.2","5.0","6.030","0.110","4.2","6.5"
"3201A20","당진천2","2024/02/15","1회차","126°37'45.6""","36°56'29.4""","11:20","","9.1","10.5","2.8","5.2","5.598","0.126","3.3","7.1"
"3004A30","봉황천","2024/02/15","1회차","127°33'6.39""","36°6'38.12""","12:04","","9.0","12.0","1.0","3.1","3.157","0.030","1.5","7.4"
"3004A20","제원1","2024/02/15","1회차","127°34'.88""","36°6'39.83""","11:56","","8.5","11.9","0.8","3.2","1.627","0.011","1.9","3.6"
"3009A30","유등천1","2024/02/15","2회차","127°22'20.25""","36°14'58.74""","13:10","","8.8","11.7","0.8","2.8","2.301","0.007","1.4","2.6"
"3014A10","강경","2024/02/16","1회차","127°0'23.9""","36°9'15.3""","14:00","","6.8","14.9","2.6","5.7","3.496","0.043","2.9","11.2"
"3014A50","금강갑문","2024/02/16","1회차","126°45'10.9""","36°0'52.4""","12:40","","5.1","17.4","1.7","7.1","3.337","0.052","2.9","26.5"
"3012A65","금천","2024/02/16","1회차","126°53'7.52""","36°14'53.49""","13:50","","7.7","12.6","1.4","4.4","3.294","0.054","1.7","16.2"
"3014A45","길산천2","2024/02/16","1회차","126°44'23.17""","36°2'41.9""","14:00","","7.3","11.3","1.0","5.6","2.263","0.071","3.3","18.4"
"3012A37","목면","2024/02/16","1회차","127°0'31.9""","36°23'3.6""","14:00","","8.6","12.0","0.8","3.8","3.686","0.033","1.2","3.6"
"3012A77","석성천3","2024/02/16","1회차","126°59'47.88""","36°12'13.96""","10:40","","5.1","12.4","1.6","6.2","4.592","0.156","3.2","23.0"
"3012A19","세종2","2024/02/16","1회차","127°11'46""","36°26'29.98""","13:00","","8.8","11.2","1.7","4.9","4.463","0.035","4.3","5.2"
"3012A35","유구천","2024/02/16","1회차","127°3'4.34""","36°28'5.61""","11:10","","6.8","12.4","0.6","1.9","2.297","0.017","1.8","1.2"
"3012A53","정동","2024/02/16","1회차","126°55'23.9""","36°18'11.6""","12:45","","7.7","12.6","1.0","3.7","3.476","0.028","2.9","4.5"
"3012A25","정안천","2024/02/16","1회차","127°7'32.07""","36°28'17.16""","10:20","","5.9","12.7","0.8","2.3","4.272","0.041","2.2","4.6"
"3012A52","지천2","2024/02/16","1회차","126°54'48.92""","36°19'18.79""","12:00","","5.8","12.7","1.0","3.1","2.461","0.020","1.6","3.5"
"3013A50","논산천4","2024/02/16","2회차","127°0'38.2""","36°9'57.3""","14:40","","8.2","11.2","1.6","3.8","3.250","0.072","3.1","8.4"
"3004A05","부리","2024/02/19","2회차","127°35'36.86""","36°2'56.1""","10:20","","6.9","11.7","0.8","3.0","1.534","0.008","2.4","2.4"
"3004A40","제원2","2024/02/19","2회차","127°35'21.55""","36°6'59.03""","11:10","","8.0","11.4","2.8","7.0","2.137","0.166","5.9","128.0"
"3012A20","공주1","2024/02/19","3회차","127°7'27.58""","36°27'59.19""","12:30","","8.6","10.8","5.6","9.8","3.519","0.075","7.8","126.5"
"3012A32","금강","2024/02/19","3회차","127°6'.1""","36°27'52.7""","10:30","","8.7","10.9","5.2","8.6","4.156","0.073","6.7","100.4"
"3012A42","부여","2024/02/19","3회차","126°56'39.9""","36°19'19.5""","10:30","","8.6","11.5","3.3","6.0","4.329","0.061","4.2","30.3"
"3101A70","남원천","2024/02/20","2회차","126°46'35.94""","36°51'31.43""","10:50","","6.4","12.3","5.1","8.5","4.961","0.155","6.1","37.8"
"3012A30","곰나루","2024/02/20","3회차","127°6'39.64""","36°28'27.75""","10:00","","7.8","11.8","2.9","6.0","3.387","0.133","1.9","26.9"
"3012A40","공주2","2024/02/20","3회차","126°59'13.8""","36°20'31.3""","10:25","","8.5","10.9","3.8","6.5","3.970","0.142","2.9","52.4"
"3012A60","부여1","2024/02/20","3회차","126°53'32.8""","36°16'32.6""","10:45","","8.3","11.3","2.8","6.1","3.552","0.106","2.5","33.4"
"3012A70","부여2","2024/02/20","3회차","126°56'56.1""","36°14'39.1""","11:05","","8.3","11.6","2.1","6.0","3.752","0.101","2.3","24.8"
"3012A80","성동","2024/02/20","3회차","127°0'12.73""","36°10'22.52""","12:50","","8.7","11.6","2.6","6.1","4.095","0.127","2.2","24.8"
"3014A30","양화","2024/02/20","3회차","126°52'24.13""","36°6'27.13""","11:37","","8.0","12.2","2.7","6.9","3.491","0.140","2.4","53.4"
"3009A30","유등천1","2024/02/20","3회차","127°22'20.25""","36°14'58.74""","14:30","","7.7","12.2","1.1","2.5","2.965","0.020","1.7","7.8"
"3101A05","삽교천1","2024/02/21","1회차","126°43'52.1""","36°41'12.2""","10:22","","6.8","12.0","3.9","8.5","4.205","0.179","4.3","42.4"
"3101A10","삽교천2","2024/02/21","1회차","126°45'17.57""","36°44'9.85""","10:43","","6.5","12.0","5.2","11.9","4.242","0.371","5.8","105.4"
"3101A15","삽교천3","2024/02/21","1회차","126°48'53.6""","36°46'26.7""","10:57","","6.9","11.7","4.0","8.0","4.357","0.191","4.7","42.7"
"3203A40","웅천천2","2024/02/21","1회차","126°35'46.6""","36°13'29.3""","10:34","","8.5","11.5","0.9","3.7","2.003","0.029","1.9","7.7"
"3014A10","강경","2024/02/21","2회차","127°0'23.9""","36°9'15.3""","11:50","","7.0","11.5","2.8","5.0","3.112","0.085","4.0","19.3"
"3014A50","금강갑문","2024/02/21","2회차","126°45'10.9""","36°0'52.4""","12:00","","6.5","12.8","3.4","7.2","2.880","0.070","5.5","30.7"
"3012A65","금천","2024/02/21","2회차","126°53'7.52""","36°14'53.49""","14:30","","7.2","11.7","4.2","7.9","2.800","0.158","5.6","37.7"
"3014A45","길산천2","2024/02/21","2회차","126°44'23.17""","36°2'41.9""","12:40","","5.6","11.6","3.3","8.8","1.897","0.112","5.8","45.5"
"3012A37","목면","2024/02/21","2회차","127°0'31.9""","36°23'3.6""","14:00","","7.7","11.3","3.4","5.1","3.261","0.108","4.4","26.0"
"3012A77","석성천3","2024/02/21","2회차","126°59'47.88""","36°12'13.96""","15:30","","5.9","11.4","5.8","12.8","3.910","0.266","6.7","92.5"
"3012A19","세종2","2024/02/21","2회차","127°11'46""","36°26'29.98""","13:00","","7.8","11.2","3.4","5.3","3.063","0.072","4.2","25.5"
"3012A35","유구천","2024/02/21","2회차","127°3'4.34""","36°28'5.61""","11:20","","7.0","12.2","1.1","3.4","2.724","0.046","2.6","9.1"
"3012A53","정동","2024/02/21","2회차","126°55'23.9""","36°18'11.6""","13:40","","7.8","10.9","2.7","5.7","3.055","0.117","4.1","36.7"
"3012A25","정안천","2024/02/21","2회차","127°7'32.07""","36°28'17.16""","10:10","","6.5","12.1","3.5","6.7","3.409","0.150","5.8","63.3"
"3012A52","지천2","2024/02/21","2회차","126°54'48.92""","36°19'18.79""","12:20","","6.9","12.0","2.1","6.9","2.680","0.142","3.7","43.3"
"3013A50","논산천4","2024/02/21","3회차","127°0'38.2""","36°9'57.3""","12:30","","6.3","10.1","3.6","6.5","3.214","0.131","5.8","31.3"
"3013A80","강경천","2024/02/22","1회차","127°1'29.46""","36°9'44.46""","11:10","","6.0","12.0","5.8","11.0","3.543","0.294","7.7","39.1"
"3101A52","천안천3","2024/02/22","2회차","127°5'23""","36°46'30""","12:20","","7.6","10.8","6.3","8.2","5.147","0.183","6.5","36.0"
"3101A60","곡교천2","2024/02/22","3회차","126°56'2.2""","36°49'17.9""","10:40","","5.1","12.6","9.3","10.7","3.887","0.256","10.1","76.0"
"3012A20","공주1","2024/02/26","4회차","127°7'27.58""","36°27'59.19""","11:00","","6.6","11.9","1.8","4.4","2.824","0.040","3.8","15.4"
"3012A32","금강","2024/02/26","4회차","127°6'.1""","36°27'52.7""","10:10","","6.5","12.1","1.8","4.3","2.981","0.036","3.6","16.3"
"3012A42","부여","2024/02/26","4회차","126°56'39.9""","36°19'19.5""","10:20","","6.5","11.9","1.2","3.7","3.080","0.049","3.0","10.6"
"3009A30","유등천1","2024/02/26","4회차","127°22'20.25""","36°14'58.74""","13:50","","7.7","13.3","0.3","2.2","2.608","0.009","1.4","1.3"
"3014A10","강경","2024/02/27","3회차","127°0'23.9""","36°9'15.3""","12:40","","6.4","11.8","1.7","4.4","3.530","0.070","3.4","12.4"
"3014A50","금강갑문","2024/02/27","3회차","126°45'10.9""","36°0'52.4""","13:00","","5.8","11.8","1.9","5.8","3.168","0.090","4.6","19.0"
"3012A65","금천","2024/02/27","3회차","126°53'7.52""","36°14'53.49""","14:00","","8.1","13.0","1.1","3.9","3.068","0.054","2.9","9.9"
"3014A45","길산천2","2024/02/27","3회차","126°44'23.17""","36°2'41.9""","14:00","","6.5","13.0","1.8","5.3","2.260","0.074","3.2","15.8"
"3012A37","목면","2024/02/27","3회차","127°0'31.9""","36°23'3.6""","14:00","","7.4","13.0","2.4","4.3","2.907","0.035","3.3","12.5"
"3012A77","석성천3","2024/02/27","3회차","126°59'47.88""","36°12'13.96""","11:00","","5.7","11.9","1.7","5.2","4.577","0.127","3.0","27.3"
"3012A19","세종2","2024/02/27","3회차","127°11'46""","36°26'29.98""","13:00","","6.9","12.6","1.4","4.1","2.472","0.032","3.2","11.8"
"3012A35","유구천","2024/02/27","3회차","127°3'4.34""","36°28'5.61""","11:05","","6.7","12.8","0.7","2.1","2.874","0.018","2.1","1.6"
"3012A53","정동","2024/02/27","3회차","126°55'23.9""","36°18'11.6""","13:15","","7.1","12.1","0.8","3.6","2.987","0.033","2.9","6.9"
"3012A25","정안천","2024/02/27","3회차","127°7'32.07""","36°28'17.16""","10:20","","6.2","12.5","0.7","2.6","3.965","0.058","2.4","18.0"
"3012A52","지천2","2024/02/27","3회차","126°54'48.92""","36°19'18.79""","12:30","","6.8","12.3","0.5","2.6","2.888","0.027","1.6","12.3"
"3101A52","천안천3","2024/02/27","3회차","127°5'23""","36°46'30""","11:50","","12.8","9.4","8.1","10.7","11.026","0.524","8.4","10.2"
"3101A60","곡교천2","2024/02/27","4회차","126°56'2.2""","36°49'17.9""","10:40","","7.4","10.8","4.4","5.9","6.204","0.133","4.5","8.6"
"3013A50","논산천4","2024/02/27","4회차","127°0'38.2""","36°9'57.3""","12:00","","6.8","12.4","1.4","4.1","3.323","0.076","3.0","8.7"
"3014A30","양화","2024/02/27","4회차","126°52'24.13""","36°6'27.13""","11:41","","7.5","11.7","1.7","5.4","3.033","0.101","2.8","12.9"
"3101A70","남원천","2024/02/29","3회차","126°46'35.94""","36°51'31.43""","10:50","","6.2","11.9","2.8","5.6","6.317","0.124","4.4","11.0"
"3004A05","부리","2024/02/29","3회차","127°35'36.86""","36°2'56.1""","11:10","","6.5","12.4","0.4","2.8","1.766","0.007","1.8","1.3"
"3004A40","제원2","2024/02/29","3회차","127°35'21.55""","36°6'59.03""","10:00","","6.5","12.1","0.5","2.7","2.197","0.008","1.6","1.9"
"3014A10","강경","2024/03/04","1회차","127°0'23.9""","36°9'15.3""","12:00","","5.8","12.6","1.4","3.8","2.853","0.040","2.7","6.1"
"3012A20","공주1","2024/03/04","1회차","127°7'27.58""","36°27'59.19""","12:30","","6.6","12.2","1.2","3.9","2.614","0.025","2.9","7.9"
"3012A32","금강","2024/03/04","1회차","127°6'.1""","36°27'52.7""","10:30","","6.6","12.3","1.4","4.0","2.701","0.028","2.9","7.3"
"3014A50","금강갑문","2024/03/04","1회차","126°45'10.9""","36°0'52.4""","12:30","","6.8","13.6","2.3","4.6","3.108","0.044","3.4","10.6"
"3012A65","금천","2024/03/04","1회차","126°53'7.52""","36°14'53.49""","13:50","","7.3","13.2","1.3","3.4","3.110","0.057","2.1","12.0"
"3014A45","길산천2","2024/03/04","1회차","126°44'23.17""","36°2'41.9""","13:10","","7.8","12.7","1.9","5.0","2.372","0.064","2.7","13.0"
"3013A50","논산천4","2024/03/04","1회차","127°0'38.2""","36°9'57.3""","12:40","","6.4","11.9","2.1","3.7","4.035","0.118","2.9","7.0"
"3012A42","부여","2024/03/04","1회차","126°56'39.9""","36°19'19.5""","10:40","","6.5","12.1","1.1","3.8","2.605","0.028","2.6","5.0"
"3012A77","석성천3","2024/03/04","1회차","126°59'47.88""","36°12'13.96""","10:30","","5.8","12.8","1.7","4.4","4.843","0.136","2.4","7.0"
"3203A40","웅천천2","2024/03/04","1회차","126°35'46.6""","36°13'29.3""","10:33","","8.5","12.5","0.8","2.9","2.214","0.014","1.4","1.7"
"3012A35","유구천","2024/03/04","1회차","127°3'4.34""","36°28'5.61""","10:50","","6.1","12.9","0.8","1.7","2.686","0.016","1.2","1.5"
"3012A53","정동","2024/03/04","1회차","126°55'23.9""","36°18'11.6""","12:40","","6.7","12.3","1.4","3.8","2.717","0.026","2.7","6.2"
"3012A25","정안천","2024/03/04","1회차","127°7'32.07""","36°28'17.16""","10:00","","6.1","12.4","0.7","2.3","4.122","0.032","1.6","9.1"
"3012A52","지천2","2024/03/04","1회차","126°54'48.92""","36°19'18.79""","11:50","","6.6","12.5","0.9","2.9","2.730","0.021","1.4","5.6"
"3013A80","강경천","2024/03/05","1회차","127°1'29.46""","36°9'44.46""","10:57","","8.1","10.8","3.0","6.2","5.103","0.285","4.2","9.1"
"3101A60","곡교천2","2024/03/05","1회차","126°56'2.2""","36°49'17.9""","10:40","","10.3","9.3","3.5","6.5","7.645","0.196","3.6","13.8"
"3101A70","남원천","2024/03/05","1회차","126°46'35.94""","36°51'31.43""","11:50","","13.2","9.1","2.5","4.2","6.648","0.106","2.5","10.2"
"3101A52","천안천3","2024/03/05","1회차","127°5'23""","36°46'30""","10:50","","8.2","11.5","9.1","12.7","11.754","0.371","6.9","20.9"
"3012A30","곰나루","2024/03/06","1회차","127°6'39.64""","36°28'27.75""","09:50","","7.9","12.0","1.7","4.5","2.841","0.039","2.8","12.2"
"3012A40","공주2","2024/03/06","1회차","126°59'13.8""","36°20'31.3""","10:20","","8.1","11.9","1.4","4.4","2.711","0.033","2.5","8.2"
"3012A37","목면","2024/03/06","1회차","127°0'31.9""","36°23'3.6""","14:00","","6.7","12.5","1.5","4.2","2.676","0.025","1.8","9.8"
"3012A60","부여1","2024/03/06","1회차","126°53'32.8""","36°16'32.6""","10:45","","8.4","11.7","1.2","4.5","2.878","0.040","2.4","5.0"
"3012A70","부여2","2024/03/06","1회차","126°56'56.1""","36°14'39.1""","11:10","","9.1","11.6","1.0","4.2","2.854","0.036","2.4","3.9"
"3012A80","성동","2024/03/06","1회차","127°0'12.73""","36°10'22.52""","12:15","","9.0","12.2","1.1","4.3","3.005","0.046","2.7","4.9"
"3012A19","세종2","2024/03/06","1회차","127°11'46""","36°26'29.98""","13:00","","6.1","12.4","1.4","4.1","2.573","0.025","2.7","8.2"
"3014A30","양화","2024/03/06","1회차","126°52'24.13""","36°6'27.13""","11:40","","8.5","12.5","1.2","4.4","2.905","0.046","2.6","3.6"
"3009A30","유등천1","2024/03/06","1회차","127°22'20.25""","36°14'58.74""","13:40","","8.9","13.8","0.7","2.3","2.385","0.011","1.4","1.5"
"3203A10","광천천","2024/03/07","1회차","126°38'32.28""","36°30'43.56""","15:24","","10.4","11.9","2.0","7.8","9.960","0.068","4.9","5.0"
"3014A40","길산천1","2024/03/07","1회차","126°43'50.96""","36°4'28.9""","12:58","","9.8","10.8","1.4","3.9","1.762","0.032","2.5","13.2"
"3201A20","당진천2","2024/03/07","1회차","126°37'45.6""","36°56'29.4""","11:57","","7.7","11.7","2.1","4.3","5.312","0.148","2.8","7.5"
"3203A20","대천천","2024/03/07","1회차","126°35'55.3""","36°20'48.1""","14:48","","9.2","11.2","2.2","4.6","2.019","0.018","2.0","14.8"
"3101A20","무한천1","2024/03/07","1회차","126°47'9.54""","36°34'7.72""","10:18","","8.2","10.7","1.7","3.0","2.479","0.022","1.9","6.8"
"3004A05","부리","2024/03/07","1회차","127°35'36.86""","36°2'56.1""","10:00","","7.3","11.9","0.7","2.9","1.529","0.019","2.1","1.3"
"3012A55","은산천","2024/03/07","1회차","126°52'17.5""","36°17'44.5""","11:20","","8.1","10.4","1.3","2.4","2.668","0.006","1.6","3.0"
"3004A40","제원2","2024/03/07","1회차","127°35'21.55""","36°6'59.03""","11:00","","7.6","12.0","0.8","2.8","2.031","0.016","1.2","2.5"
"3012A50","지천1","2024/03/07","1회차","126°51'31.9""","36°19'33.9""","11:10","","9.3","11.2","1.2","2.4","2.356","0.004","1.4","7.4"
"3203A50","판교천","2024/03/07","1회차","126°40'43.68""","36°5'30.12""","14:00","","9.1","10.8","1.6","3.8","1.861","0.025","2.1","15.4"
"3013A20","노성천2","2024/03/11","1회차","127°5'37.04""","36°13'8.6""","13:55","","10.1","11.5","1.7","3.6","3.191","0.031","1.9","3.4"
"3013A10","논산천2","2024/03/11","1회차","127°12'9.59""","36°10'28.47""","11:40","","9.7","11.6","1.6","2.3","2.395","0.003","1.3","0.4"
"3013A30","논산천3","2024/03/11","1회차","127°4'49.8""","36°12'35.44""","13:40","","8.7","12.2","2.7","3.7","2.730","0.018","2.0","5.8"
"3009A05","두계천","2024/03/11","1회차","127°15'13.7""","36°16'51.9""","11:00","","8.9","11.3","1.7","2.5","1.519","0.005","1.7","1.6"
"3013A40","방축천","2024/03/11","1회차","127°3'12.67""","36°10'22.65""","12:40","","9.4","11.3","3.6","6.6","7.026","0.143","4.2","20.4"
"3004A30","봉황천","2024/03/11","1회차","127°33'6.39""","36°6'38.12""","11:24","","8.3","12.7","0.7","3.2","3.275","0.042","1.7","5.1"
"3012A75","석성천2","2024/03/11","1회차","127°1'52.89""","36°14'6.46""","14:10","","8.9","11.7","2.0","4.4","4.663","0.098","2.5","13.2"
"3013A60","수철천","2024/03/11","1회차","127°5'37.8""","36°6'3.72""","12:10","","10.1","13.8","3.0","4.5","3.537","0.238","2.7","3.0"
"3203A30","웅천천1","2024/03/11","1회차","126°40'33.41""","36°17'27.1""","14:20","","8.0","13.0","2.0","2.1","2.529","0.009","0.9","0.6"
"3004A20","제원1","2024/03/11","1회차","127°34'.88""","36°6'39.83""","11:16","","9.1","12.0","0.6","3.3","1.573","0.016","1.8","0.8"
"3012A20","공주1","2024/03/11","2회차","127°7'27.58""","36°27'59.19""","10:50","","7.4","12.3","1.0","4.2","2.464","0.017","2.7","7.2"
"3012A32","금강","2024/03/11","2회차","127°6'.1""","36°27'52.7""","10:20","","7.4","12.4","0.8","4.2","2.499","0.020","2.9","8.1"
"3012A42","부여","2024/03/11","2회차","126°56'39.9""","36°19'19.5""","10:40","","7.6","12.2","0.8","4.2","2.566","0.022","2.9","8.1"
"3201A10","당진천1","2024/03/12","1회차","126°37'28""","36°53'48.7""","13:40","","8.5","13.6","2.1","4.1","3.587","0.012","2.3","8.0"
"3202A60","도당천","2024/03/12","1회차","126°31'8.76""","36°44'8.16""","15:30","","8.7","13.6","2.5","7.1","3.901","0.008","2.8","15.4"
"3202A30","둔당천","2024/03/12","1회차","126°25'48.66""","36°45'39.39""","15:20","","9.4","11.5","2.2","3.2","8.252","0.034","2.4","8.8"
"3202A80","와룡천","2024/03/12","1회차","126°32'59""","36°36'1.1""","16:00","","8.2","11.3","0.6","5.2","7.664","0.022","2.5","2.8"
"3202A20","장검천","2024/03/12","1회차","126°23'23.64""","36°43'16.32""","14:50","","10.7","12.7","2.9","5.6","10.526","0.044","3.4","4.6"
"3202A50","청지천","2024/03/12","1회차","126°28'31.8""","36°46'4.08""","15:20","","10.8","14.8","2.4","5.1","7.721","0.010","3.4","6.0"
"3202A10","태안천","2024/03/12","1회차","126°19'43.38""","36°44'22.91""","14:30","","12.5","14.9","5.5","8.6","8.764","0.277","5.0","7.2"
"3101A60","곡교천2","2024/03/12","2회차","126°56'2.2""","36°49'17.9""","10:40","","10.4","8.6","4.6","7.9","9.050","0.221","4.9","11.6"
"3101A70","남원천","2024/03/12","2회차","126°46'35.94""","36°51'31.43""","10:50","","7.0","11.2","2.4","5.2","7.555","0.120","2.7","7.5"
"3012A37","목면","2024/03/12","2회차","127°0'31.9""","36°23'3.6""","11:00","","8.7","14.1","1.1","4.4","2.557","0.015","2.3","8.0"
"3012A19","세종2","2024/03/12","2회차","127°11'46""","36°26'29.98""","11:50","","6.9","13.4","1.1","4.4","2.655","0.013","2.3","5.6"
"3009A30","유등천1","2024/03/12","2회차","127°22'20.25""","36°14'58.74""","13:40","","7.5","13.5","0.4","2.1","2.401","0.010","0.9","2.5"
"3101A52","천안천3","2024/03/12","2회차","127°5'23""","36°46'30""","11:50","","13.8","9.4","7.5","12.8","13.897","0.429","8.5","13.2"
"3101A25","무한천2","2024/03/13","1회차","126°49'49.7""","36°43'59.2""","14:30","","10.7","11.6","2.2","5.1","4.740","0.032","2.9","5.4"
"3101A45","삼용천","2024/03/13","1회차","127°9'11.04""","36°47'52.98""","11:55","","10.2","14.7","1.8","5.0","4.560","0.132","3.0","3.2"
"1101A20","성환천","2024/03/13","1회차","127°7'26.04""","36°57'11.16""","11:10","","8.7","10.2","4.5","8.5","6.366","0.081","5.1","15.1"
"3101A55","온천천","2024/03/13","1회차","126°59'31.56""","36°47'45.24""","14:00","","16.7","6.5","10.4","15.2","3.941","0.059","10.7","7.0"
"3101A40","원성천","2024/03/13","1회차","127°9'11.88""","36°48'1.44""","11:50","","12.5","14.5","2.2","8.1","6.206","0.388","4.8","22.8"
"1101A15","입장천","2024/03/13","1회차","127°8'23.28""","36°57'50.4""","11:00","","8.4","11.1","3.3","7.6","5.810","0.047","4.6","10.2"
"3101A35","천안천1","2024/03/13","1회차","127°8'46.27""","36°47'57.12""","12:00","","11.3","13.7","2.5","6.2","3.790","0.257","4.1","3.0"
"3101A50","천안천2","2024/03/13","1회차","127°6'48.36""","36°46'51.62""","13:40","","15.6","8.9","14.7","15.6","15.750","0.515","8.7","11.6"
"3012A30","곰나루","2024/03/13","2회차","127°6'39.64""","36°28'27.75""","09:31","","7.9","12.2","1.1","4.1","2.563","0.043","2.6","7.0"
"3012A40","공주2","2024/03/13","2회차","126°59'13.8""","36°20'31.3""","09:57","","7.8","12.1","1.0","4.2","2.617","0.037","2.7","6.6"
"3004A05","부리","2024/03/13","2회차","127°35'36.86""","36°2'56.1""","11:30","","7.3","13.1","0.3","3.0","1.699","0.009","1.5","1.5"
"3012A60","부여1","2024/03/13","2회차","126°53'32.8""","36°16'32.6""","10:18","","8.1","12.1","1.0","4.3","2.504","0.030","2.6","4.9"
"3012A70","부여2","2024/03/13","2회차","126°56'56.1""","36°14'39.1""","10:37","","8.8","12.2","1.0","4.1","2.548","0.053","3.0","15.4"
"3012A80","성동","2024/03/13","2회차","127°0'12.73""","36°10'22.52""","12:07","","10.0","13.5","1.1","4.4","2.785","0.080","2.6","8.0"
"3014A30","양화","2024/03/13","2회차","126°52'24.13""","36°6'27.13""","11:09","","9.2","12.2","1.5","4.3","2.822","0.052","3.8","7.8"
"3004A40","제원2","2024/03/13","2회차","127°35'21.55""","36°6'59.03""","10:00","","7.2","12.4","0.5","2.9","1.973","0.010","1.5","1.5"
"3101A05","삽교천1","2024/03/14","1회차","126°43'52.1""","36°41'12.2""","12:10","","10.9","12.0","2.6","5.4","5.995","0.110","3.0","14.4"
"3101A10","삽교천2","2024/03/14","1회차","126°45'17.57""","36°44'9.85""","12:33","","12.3","11.2","1.7","5.9","4.842","0.120","2.8","13.9"
"3101A15","삽교천3","2024/03/14","1회차","126°48'53.6""","36°46'26.7""","12:53","","11.8","12.0","2.2","5.8","5.477","0.121","3.2","17.9"
"3014A10","강경","2024/03/14","2회차","127°0'23.9""","36°9'15.3""","12:40","","8.1","12.8","1.5","4.4","2.710","0.035","2.6","16.4"
"3014A50","금강갑문","2024/03/14","2회차","126°45'10.9""","36°0'52.4""","12:30","","8.9","13.1","3.1","5.6","2.650","0.037","3.4","15.5"
"3012A65","금천","2024/03/14","2회차","126°53'7.52""","36°14'53.49""","13:40","","9.8","12.3","1.2","4.2","2.959","0.058","2.1","16.6"
"3014A45","길산천2","2024/03/14","2회차","126°44'23.17""","36°2'41.9""","13:10","","9.9","11.5","1.7","5.2","2.470","0.065","2.7","22.4"
"3013A50","논산천4","2024/03/14","2회차","127°0'38.2""","36°9'57.3""","12:00","","8.7","12.4","2.1","4.3","3.568","0.079","2.5","13.0"
"3012A77","석성천3","2024/03/14","2회차","126°59'47.88""","36°12'13.96""","10:30","","8.3","12.2","1.4","5.9","4.997","0.169","3.4","12.2"
"3012A35","유구천","2024/03/14","2회차","127°3'4.34""","36°28'5.61""","11:00","","8.2","12.2","0.6","2.6","2.536","0.022","0.9","2.2"
"3012A53","정동","2024/03/14","2회차","126°55'23.9""","36°18'11.6""","12:40","","8.1","12.8","1.1","4.2","2.502","0.028","2.5","8.3"
"3012A25","정안천","2024/03/14","2회차","127°7'32.07""","36°28'17.16""","10:10","","7.6","12.4","0.7","2.5","3.666","0.030","1.0","5.6"
"3012A52","지천2","2024/03/14","2회차","126°54'48.92""","36°19'18.79""","12:00","","8.0","12.3","0.6","2.9","2.500","0.026","1.6","4.8"
"3012A30","곰나루","2024/03/18","3회차","127°6'39.64""","36°28'27.75""","09:42","","11.4","11.4","1.3","4.6","3.630","0.041","3.1","6.6"
"3012A20","공주1","2024/03/18","3회차","127°7'27.58""","36°27'59.19""","11:10","","11.6","12.0","2.0","5.3","3.758","0.031","4.2","7.6"
"3012A40","공주2","2024/03/18","3회차","126°59'13.8""","36°20'31.3""","10:07","","12.3","11.9","1.7","4.9","3.488","0.041","3.3","6.2"
"3012A32","금강","2024/03/18","3회차","127°6'.1""","36°27'52.7""","10:20","","11.2","11.9","1.8","5.4","3.609","0.030","4.0","8.3"
"3012A42","부여","2024/03/18","3회차","126°56'39.9""","36°19'19.5""","10:20","","10.8","12.3","1.8","5.2","3.211","0.027","4.4","8.5"
